2020-06-09 11:38:17.434 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.nine.one.yuedu.read.ApplicationTests], using SpringBootContextLoader
2020-06-09 11:38:19.543 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-06-09 11:38:22.100 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-06-09 11:38:29.904 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-06-09 11:38:30.007 [main] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: fa821330-e8c3-462d-b061-572177f90203

2020-06-09 11:38:30.196 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1247c72e, org.springframework.security.web.context.SecurityContextPersistenceFilter@bf2aa32, org.springframework.security.web.header.HeaderWriterFilter@2296127, org.springframework.security.web.authentication.logout.LogoutFilter@31228d83, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6b3d9c38, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4aa3fc9a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6fef75c6, org.springframework.security.web.session.SessionManagementFilter@7e747037, org.springframework.security.web.access.ExceptionTranslationFilter@2b2a4332, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@227a933d]
2020-06-09 11:38:30.667 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-06-09 11:38:31.695 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2020-06-09 11:38:31.732 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-06-09 11:38:31.784 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2020-06-09 11:38:32.137 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: uploadHeadUsingPOST_1
2020-06-09 11:38:32.261 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: findByIdUsingGET_1
2020-06-09 11:38:32.270 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: uploadHeadUsingPOST_2
2020-06-09 11:38:32.275 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getBookUsingGET_1
2020-06-09 11:38:32.277 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getChapterUsingGET_1
2020-06-09 11:38:32.306 [main] INFO  com.nine.one.yuedu.read.ApplicationTests - Started ApplicationTests in 14.631 seconds (JVM running for 15.522)
2020-06-09 11:38:32.786 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 书籍的名称是:夜半惊婚：鬼帝好撩人
2020-06-09 11:38:32.880 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 章节的名字:第一章：命运
2020-06-09 11:38:35.207 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-06-09 11:38:35.217 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-06-09 11:38:42.936 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.nine.one.yuedu.read.ApplicationTests], using SpringBootContextLoader
2020-06-09 11:38:42.942 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.nine.one.yuedu.read.ApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-06-09 11:38:42.943 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.nine.one.yuedu.read.ApplicationTests]: ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-06-09 11:38:43.039 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.nine.one.yuedu.read.NineOneYueDuApplication for test class com.nine.one.yuedu.read.ApplicationTests
2020-06-09 11:38:43.126 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-06-09 11:38:43.139 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@12299890, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2fba3fc4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4bf48f6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@420a85c4, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1c39680d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@62833051, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1c852c0f, org.springframework.test.context.event.EventPublishingTestExecutionListener@a37aefe, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5d99c6b5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@266374ef, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@13b3d178, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@24c4ddae, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@37fb0bed]
2020-06-09 11:38:43.388 [main] INFO  com.nine.one.yuedu.read.ApplicationTests - Starting ApplicationTests on 192.168.0.104 with PID 42267 (started by wangyuliang in /Users/wangyuliang/ideaProjects/91yuedu-read)
2020-06-09 11:38:43.388 [main] INFO  com.nine.one.yuedu.read.ApplicationTests - The following profiles are active: test
2020-06-09 11:38:44.142 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-06-09 11:38:44.144 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-06-09 11:38:44.179 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22ms. Found 0 Redis repository interfaces.
2020-06-09 11:38:44.862 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-06-09 11:38:45.338 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-06-09 11:38:47.332 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-06-09 11:38:47.443 [main] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 297c7238-ba3b-4b27-88ce-127f7dec252d

2020-06-09 11:38:47.618 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@25de8898, org.springframework.security.web.context.SecurityContextPersistenceFilter@5ce3409b, org.springframework.security.web.header.HeaderWriterFilter@63db743d, org.springframework.security.web.authentication.logout.LogoutFilter@2c8ff67, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@66234b0f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@25218a4d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@bfb93cf, org.springframework.security.web.session.SessionManagementFilter@4cb24e2, org.springframework.security.web.access.ExceptionTranslationFilter@6d7740f0, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@12fccff0]
2020-06-09 11:38:48.094 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-06-09 11:38:49.160 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2020-06-09 11:38:49.192 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-06-09 11:38:49.238 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2020-06-09 11:38:49.528 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: uploadHeadUsingPOST_1
2020-06-09 11:38:49.656 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: findByIdUsingGET_1
2020-06-09 11:38:49.667 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: uploadHeadUsingPOST_2
2020-06-09 11:38:49.673 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getBookUsingGET_1
2020-06-09 11:38:49.675 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getChapterUsingGET_1
2020-06-09 11:38:49.705 [main] INFO  com.nine.one.yuedu.read.ApplicationTests - Started ApplicationTests in 6.539 seconds (JVM running for 7.345)
2020-06-09 11:38:50.035 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 书籍的名称是:夜半惊婚：鬼帝好撩人
2020-06-09 11:38:50.121 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 章节的名字:第一章：命运
2020-06-09 11:38:53.163 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - {"data":{"newChapters":0,"newNovels":0,"updatedChapters":0,"updatedNovels":0},"result":"ok","stat":"OK"}
2020-06-09 11:38:53.163 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 章节的名字:第二章：春梦
2020-06-09 11:38:53.316 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - {"data":{"newChapters":0,"newNovels":0,"updatedChapters":0,"updatedNovels":0},"result":"ok","stat":"OK"}
2020-06-09 11:38:53.316 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 章节的名字:第三章：假面的伪装者
2020-06-09 11:38:53.461 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - {"data":{"newChapters":0,"newNovels":0,"updatedChapters":0,"updatedNovels":0},"result":"ok","stat":"OK"}
2020-06-09 11:38:53.462 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 章节的名字:第四章：谁会后悔？
2020-06-09 11:38:53.659 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - {"data":{"newChapters":0,"newNovels":0,"updatedChapters":0,"updatedNovels":0},"result":"ok","stat":"OK"}
2020-06-09 11:38:53.659 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 章节的名字:第五章张小兰
2020-06-09 11:38:53.821 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - {"data":{"newChapters":0,"newNovels":0,"updatedChapters":0,"updatedNovels":0},"result":"ok","stat":"OK"}
2020-06-09 11:38:53.822 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 章节的名字:第六章和张小兰的对话 
2020-06-09 11:38:53.971 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - {"data":{"newChapters":0,"newNovels":0,"updatedChapters":0,"updatedNovels":0},"result":"ok","stat":"OK"}
2020-06-09 11:38:53.971 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 章节的名字:第七章病态的张小兰
2020-06-09 11:38:54.139 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - {"data":{"newChapters":0,"newNovels":0,"updatedChapters":0,"updatedNovels":0},"result":"ok","stat":"OK"}
2020-06-09 11:38:54.139 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 章节的名字:第八章再入魔窟 
2020-06-09 11:38:54.282 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - {"data":{"newChapters":0,"newNovels":0,"updatedChapters":0,"updatedNovels":0},"result":"ok","stat":"OK"}
2020-06-09 11:38:54.283 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 章节的名字:第九章火邢台
2020-06-09 11:38:54.453 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - {"data":{"newChapters":0,"newNovels":0,"updatedChapters":0,"updatedNovels":0},"result":"ok","stat":"OK"}
2020-06-09 11:38:54.453 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 章节的名字:第十章
2020-06-09 11:38:54.790 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - {"data":{"newChapters":0,"newNovels":0,"updatedChapters":0,"updatedNovels":0},"result":"ok","stat":"OK"}
2020-06-09 11:38:54.791 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 章节的名字:第十一章沈白出现
2020-06-09 11:38:54.939 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - {"data":{"newChapters":0,"newNovels":0,"updatedChapters":0,"updatedNovels":0},"result":"ok","stat":"OK"}
2020-06-09 11:38:54.939 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 章节的名字:第十二章萤火虫 
2020-06-09 11:38:55.084 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - {"data":{"newChapters":0,"newNovels":0,"updatedChapters":0,"updatedNovels":0},"result":"ok","stat":"OK"}
2020-06-09 11:38:55.084 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 章节的名字:第十三章麻婆的邀请
2020-06-09 11:38:55.233 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - {"data":{"newChapters":0,"newNovels":0,"updatedChapters":0,"updatedNovels":0},"result":"ok","stat":"OK"}
2020-06-09 11:38:55.234 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 章节的名字:第十四章鬼帝娶亲
2020-06-09 11:38:55.390 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - {"data":{"newChapters":0,"newNovels":0,"updatedChapters":0,"updatedNovels":0},"result":"ok","stat":"OK"}
2020-06-09 11:38:55.390 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 章节的名字:第十五章最后一个办法 
2020-06-09 11:38:55.543 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - {"data":{"newChapters":0,"newNovels":0,"updatedChapters":0,"updatedNovels":0},"result":"ok","stat":"OK"}
2020-06-09 11:38:55.543 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 章节的名字:第十六章鬼帝娶亲不可为
2020-06-09 11:38:55.690 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - {"data":{"newChapters":0,"newNovels":0,"updatedChapters":0,"updatedNovels":0},"result":"ok","stat":"OK"}
2020-06-09 11:38:55.690 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 章节的名字:第十七章丰都
2020-06-09 11:38:55.858 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - {"data":{"newChapters":0,"newNovels":0,"updatedChapters":0,"updatedNovels":0},"result":"ok","stat":"OK"}
2020-06-09 11:38:55.859 [main] INFO  com.nine.one.yuedu.read.cp.impl.WPSServiceImpl - 章节的名字:第十八章五方鬼帝
2020-06-09 11:39:45.013 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.nine.one.yuedu.read.ApplicationTests], using SpringBootContextLoader
2020-06-09 11:39:45.018 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.nine.one.yuedu.read.ApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-06-09 11:39:45.019 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.nine.one.yuedu.read.ApplicationTests]: ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-06-09 11:39:45.103 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.nine.one.yuedu.read.NineOneYueDuApplication for test class com.nine.one.yuedu.read.ApplicationTests
2020-06-09 11:39:45.179 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-06-09 11:39:45.190 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@266374ef, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@13b3d178, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@24c4ddae, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@37fb0bed, org.springframework.test.context.support.DirtiesContextTestExecutionListener@a82c5f1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7b7fdc8, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@51c693d, org.springframework.test.context.event.EventPublishingTestExecutionListener@6a57ae10, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@766653e6, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4e07b95f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@28b46423, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7fc4780b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3b79fd76]
2020-06-09 11:39:45.422 [main] INFO  com.nine.one.yuedu.read.ApplicationTests - Starting ApplicationTests on 192.168.0.104 with PID 42331 (started by wangyuliang in /Users/wangyuliang/ideaProjects/91yuedu-read)
2020-06-09 11:39:45.422 [main] INFO  com.nine.one.yuedu.read.ApplicationTests - The following profiles are active: test
2020-06-09 11:39:46.085 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-06-09 11:39:46.087 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-06-09 11:39:46.116 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18ms. Found 0 Redis repository interfaces.
2020-06-09 11:39:46.744 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-06-09 11:39:50.101 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-06-09 11:39:55.719 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-06-09 11:39:55.797 [main] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 0d8832e1-2ff2-43f6-96bd-afddc9b7802b

2020-06-09 11:39:55.921 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7ef8e623, org.springframework.security.web.context.SecurityContextPersistenceFilter@4aa3fc9a, org.springframework.security.web.header.HeaderWriterFilter@4d0e1a9a, org.springframework.security.web.authentication.logout.LogoutFilter@3f3c8b60, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@634aa81e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2c8ff67, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3d8d970e, org.springframework.security.web.session.SessionManagementFilter@59ec7020, org.springframework.security.web.access.ExceptionTranslationFilter@69eb544f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@464ede1f]
2020-06-09 11:39:56.248 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-06-09 11:39:56.914 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2020-06-09 11:39:56.938 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-06-09 11:39:56.974 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2020-06-09 11:39:57.164 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: uploadHeadUsingPOST_1
2020-06-09 11:39:57.232 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: findByIdUsingGET_1
2020-06-09 11:39:57.238 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: uploadHeadUsingPOST_2
2020-06-09 11:39:57.241 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getBookUsingGET_1
2020-06-09 11:39:57.242 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getChapterUsingGET_1
2020-06-09 11:39:57.259 [main] INFO  com.nine.one.yuedu.read.ApplicationTests - Started ApplicationTests in 12.044 seconds (JVM running for 12.784)
2020-06-09 11:39:57.443 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-06-09 11:39:57.453 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-06-09 19:05:58.163 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.nine.one.yuedu.read.ApplicationTests], using SpringBootContextLoader
2020-06-09 19:05:58.173 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.nine.one.yuedu.read.ApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
