2020-06-08 09:40:37.250 [main] INFO  com.nine.one.yuedu.read.NineOneYueDuApplication - Starting NineOneYueDuApplication on 192.168.0.104 with PID 29606 (/Users/wangyuliang/ideaProjects/91yuedu-read/target/classes started by wangyuliang in /Users/wangyuliang/ideaProjects/91yuedu-read)
2020-06-08 09:45:42.283 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: uploadHeadUsingPOST_1
2020-06-08 09:45:42.327 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: findByIdUsingGET_1
2020-06-08 09:45:42.331 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: uploadHeadUsingPOST_2
2020-06-08 09:45:42.333 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getBookUsingGET_1
2020-06-08 09:45:42.334 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getChapterUsingGET_1
2020-06-08 09:45:42.345 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9004"]
2020-06-08 09:45:42.367 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9004 (http) with context path ''
2020-06-08 09:45:42.369 [main] INFO  com.nine.one.yuedu.read.NineOneYueDuApplication - Started NineOneYueDuApplication in 11.099 seconds (JVM running for 11.555)
2020-06-08 09:46:01.960 [http-nio-9004-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-06-08 09:46:01.960 [http-nio-9004-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-06-08 09:46:01.965 [http-nio-9004-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2020-06-08 09:46:31.950 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-06-08 09:46:31.957 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-06-08 09:46:35.720 [main] INFO  com.nine.one.yuedu.read.NineOneYueDuApplication - Starting NineOneYueDuApplication on 192.168.0.104 with PID 29699 (/Users/wangyuliang/ideaProjects/91yuedu-read/target/classes started by wangyuliang in /Users/wangyuliang/ideaProjects/91yuedu-read)
2020-06-08 09:46:35.722 [main] INFO  com.nine.one.yuedu.read.NineOneYueDuApplication - The following profiles are active: test
2020-06-08 09:46:36.366 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-06-08 09:46:36.367 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-06-08 09:46:36.395 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17ms. Found 0 Redis repository interfaces.
2020-06-08 09:46:36.757 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9004 (http)
2020-06-08 09:46:36.762 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9004"]
2020-06-08 09:46:36.763 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-06-08 09:46:36.763 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-06-08 09:46:36.814 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-06-08 09:46:36.814 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1062 ms
2020-06-08 09:46:36.953 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-06-08 09:46:37.205 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-06-08 09:46:38.039 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-06-08 09:46:38.082 [main] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 9ef2ccb1-4e97-4f91-b348-665c0e948a07

2020-06-08 09:46:38.140 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@23444a36, org.springframework.security.web.context.SecurityContextPersistenceFilter@74960e9d, org.springframework.security.web.header.HeaderWriterFilter@3dc68586, org.springframework.security.web.authentication.logout.LogoutFilter@4c319d52, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@fb5aeed, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7742a45c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@31a136a6, org.springframework.security.web.session.SessionManagementFilter@5d124d29, org.springframework.security.web.access.ExceptionTranslationFilter@2f95653f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7436364d]
2020-06-08 09:46:38.229 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-06-08 09:46:38.535 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2020-06-08 09:46:38.547 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-06-08 09:46:38.568 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2020-06-08 09:46:38.698 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: uploadHeadUsingPOST_1
2020-06-08 09:46:38.747 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: findByIdUsingGET_1
2020-06-08 09:46:38.751 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: uploadHeadUsingPOST_2
2020-06-08 09:46:38.753 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getBookUsingGET_1
2020-06-08 09:46:38.754 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getChapterUsingGET_1
2020-06-08 09:46:38.767 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9004"]
2020-06-08 09:46:38.791 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9004 (http) with context path ''
2020-06-08 09:46:38.794 [main] INFO  com.nine.one.yuedu.read.NineOneYueDuApplication - Started NineOneYueDuApplication in 3.325 seconds (JVM running for 3.779)
2020-06-08 09:46:44.173 [http-nio-9004-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-06-08 09:46:44.173 [http-nio-9004-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-06-08 09:46:44.178 [http-nio-9004-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2020-06-08 09:47:06.414 [http-nio-9004-exec-2] INFO  com.nine.one.yuedu.read.cp.impl.BiKanServiceImpl - 抓取图书名称为:夜半惊婚：鬼帝好撩人
2020-06-08 09:48:42.356 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-06-08 09:48:42.361 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-06-08 09:48:46.237 [main] INFO  com.nine.one.yuedu.read.NineOneYueDuApplication - Starting NineOneYueDuApplication on 192.168.0.104 with PID 29738 (/Users/wangyuliang/ideaProjects/91yuedu-read/target/classes started by wangyuliang in /Users/wangyuliang/ideaProjects/91yuedu-read)
2020-06-08 09:48:46.240 [main] INFO  com.nine.one.yuedu.read.NineOneYueDuApplication - The following profiles are active: test
2020-06-08 09:48:46.891 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-06-08 09:48:46.893 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-06-08 09:48:46.920 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17ms. Found 0 Redis repository interfaces.
2020-06-08 09:48:47.282 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9004 (http)
2020-06-08 09:48:47.288 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9004"]
2020-06-08 09:48:47.288 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-06-08 09:48:47.288 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-06-08 09:48:47.340 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-06-08 09:48:47.341 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1069 ms
2020-06-08 09:48:47.481 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-06-08 09:48:49.784 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-06-08 09:48:55.730 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-06-08 09:48:55.771 [main] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 84b5dd40-beb4-4ab6-8d6a-2ea6bd3894ff

2020-06-08 09:48:55.838 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@29013ef2, org.springframework.security.web.context.SecurityContextPersistenceFilter@7742a45c, org.springframework.security.web.header.HeaderWriterFilter@3c88191b, org.springframework.security.web.authentication.logout.LogoutFilter@790d8fdd, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@14fc9bd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5bda157e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@265c1a7c, org.springframework.security.web.session.SessionManagementFilter@670342a2, org.springframework.security.web.access.ExceptionTranslationFilter@423ed3b5, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@31a136a6]
2020-06-08 09:48:55.920 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-06-08 09:48:56.236 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2020-06-08 09:48:56.247 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-06-08 09:48:56.269 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2020-06-08 09:48:56.412 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: uploadHeadUsingPOST_1
2020-06-08 09:48:56.465 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: findByIdUsingGET_1
2020-06-08 09:48:56.470 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: uploadHeadUsingPOST_2
2020-06-08 09:48:56.473 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getBookUsingGET_1
2020-06-08 09:48:56.473 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getChapterUsingGET_1
2020-06-08 09:48:56.486 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9004"]
2020-06-08 09:48:56.512 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9004 (http) with context path ''
2020-06-08 09:48:56.515 [main] INFO  com.nine.one.yuedu.read.NineOneYueDuApplication - Started NineOneYueDuApplication in 10.538 seconds (JVM running for 11.012)
2020-06-08 09:49:01.801 [http-nio-9004-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-06-08 09:49:01.801 [http-nio-9004-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-06-08 09:49:01.806 [http-nio-9004-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2020-06-08 09:53:16.937 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-06-08 09:53:16.942 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-06-08 09:53:20.811 [main] INFO  com.nine.one.yuedu.read.NineOneYueDuApplication - Starting NineOneYueDuApplication on 192.168.0.104 with PID 29792 (/Users/wangyuliang/ideaProjects/91yuedu-read/target/classes started by wangyuliang in /Users/wangyuliang/ideaProjects/91yuedu-read)
2020-06-08 09:53:20.813 [main] INFO  com.nine.one.yuedu.read.NineOneYueDuApplication - The following profiles are active: test
2020-06-08 09:53:21.485 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-06-08 09:53:21.487 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-06-08 09:53:21.515 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18ms. Found 0 Redis repository interfaces.
2020-06-08 09:53:21.891 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9004 (http)
2020-06-08 09:53:21.896 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9004"]
2020-06-08 09:53:21.896 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-06-08 09:53:21.896 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-06-08 09:53:21.947 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-06-08 09:53:21.948 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1104 ms
2020-06-08 09:53:22.087 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-06-08 09:53:24.463 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-06-08 09:53:30.704 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-06-08 09:53:30.747 [main] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: ec6ad88c-f84d-4ea0-b101-d628b4baa541

2020-06-08 09:53:30.806 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@14fc9bd, org.springframework.security.web.context.SecurityContextPersistenceFilter@126f8f24, org.springframework.security.web.header.HeaderWriterFilter@5c48b72c, org.springframework.security.web.authentication.logout.LogoutFilter@2db15f70, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@781aff8b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2f9dda71, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7ed49a7f, org.springframework.security.web.session.SessionManagementFilter@243bf087, org.springframework.security.web.access.ExceptionTranslationFilter@14b31e37, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@73893ec1]
2020-06-08 09:53:30.902 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-06-08 09:53:31.211 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2020-06-08 09:53:31.221 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-06-08 09:53:31.243 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
